id;Name;Description;Type;Year;Rating;Director;Genres;Image;startDate;endDate;webLink;netflixLink;Duration
80094557;"Cyborg 009 VS Devilman";"Black Ghost'lu bir bilim insanının elinden çıkan modifiye edilmiş siborglar ve gizemli cinler Tokyo'da ortaya çıkar, «Devilman» ve «Cyborg 009» dünyaları buluşur.";TVSeries;2015;NULL;NULL;"Diziler, Aksiyon & Macera, Animasyon, Bilim Kurgu & Fantastik";...;2016-04-01;NULL;https://turflix.com/dizi/cyborg-009-vs-devilman-80094557;https://www.netflix.com/title/80094557;1
80043576;"AJIN: Demi-Human";"Genç bir çocuk, Ajin olduğunu keşfeder ve yetkililer üzerinde deney yapacağı için kaçar. Diğer Ajin’ler insanlara savaş açınca tarafını seçmesi gerekir.";TVSeries;2016;7.8;NULL;"Diziler, Aksiyon & Macera, Animasyon, Bilim Kurgu & Fantastik";...;2016-01-19;NULL;https://turflix.com/dizi/ajin-demi-human-80043576;https://www.netflix.com/title/80043576;2
80992137;"CAROLE & TUESDAY";"Yarı zamanlı çalışan Carole ile zengin kız Tuesday, tanışmalarının ardından ihtiyaç duydukları müzik partnerini bulduklarını anlar. Belki birlikte başarılı olabilirler.";TVSeries;2019;7.9;NULL;"Diziler, Animasyon, Drama, Müzik";...;2019-04-10;NULL;https://turflix.com/dizi/carole-tuesday-80992137;https://www.netflix.com/title/80992137;2
80204451;BAKI;"Dövüş sanatları şampiyonu Baki Hanma, bu sporda bir efsane olan babasını geçmek için sıkı çalışırken beş acımasız idam mahkûmu, onunla karşılaşmak için Tokyo'ya gelir.";TVSeries;2018;6.7;NULL;"Diziler, Aksiyon & Macera, Animasyon";...;2018-06-25;NULL;https://turflix.com/dizi/baki-80204451;https://www.netflix.com/title/80204451;3
80174917;"Balinaların Çocukları";"Sihir yapabilen genç arşivci Chakuro, zamanının az olduğunu bilse de dışarıdan bir kız adasında belirdiğinde her şey değişir.";TVSeries;2017;7.1;NULL;"Diziler, Animasyon, Bilim Kurgu & Fantastik";...;2017-12-30;NULL;https://turflix.com/dizi/balinalarin-cocuklari-80174917;https://www.netflix.com/title/80174917;1
81281872;"A Whisker Away";"Tuhaf bir kız, hoşlandığı çocuğun ilgisini çekmek için kediye dönüşür. Ama farkına bile varmadan insan ve hayvan arasındaki çizgi bulanıklaşmaya başlar.";Movie;2020;6.7;"Junichi Sato";"Animasyon, Drama, Aile, Fantastik, Romantik";...;2020-06-18;NULL;https://turflix.com/film/a-whisker-away-81281872;https://www.netflix.com/title/81281872;104
70216227;Aşırıcılar;"Arrietty adlı minik bir "aşırıcı", kendisinden kat kat büyük olan genç bir oğlanla arkadaş olduğunda kendi ailesini oğlanın devasa ebeveynlerinden korumak zorunda kalır.";Movie;2010;7.6;"Hiromasa Yonebayashi";"Animasyon, Aile, Fantastik";...;2016-03-01;NULL;https://turflix.com/film/asiricilar-70216227;https://www.netflix.com/title/70216227;94
80036398;"Marnie Oradayken";"Yazı geçirmek üzere sakin bir deniz kasabasına gönderilen hasta Anna, terk edilmiş bir villada yaşayan meraklı bir kızla arkadaş olur. Peki kurdukları bağ gerçek midir?";Movie;2014;7.7;"Hiromasa Yonebayashi";"Animasyon, Drama, Aile";...;2020-04-01;NULL;https://turflix.com/film/marnie-oradayken-80036398;https://www.netflix.com/title/80036398;102
81170086;"Dragon Quest Your Story";"Babasının izinden giden Luca, annesini hain Ladja'dan kurtarmaya çalışır. Bunun için tek umudu, Zenith kılıcını kullanabilen ilahi kahramanı bulmaktır.";Movie;2019;6.6;"Takashi Yamazaki";"Aksiyon, Macera, Animasyon, Aile";...;2020-02-13;NULL;https://turflix.com/film/dragon-quest-your-story-81170086;https://www.netflix.com/title/81170086;101
81143068;"Modest Heroes: Ponoc Short Films Theatre";"Üç kısa animasyon hikâye: su altında kendi başlarına hayatta kalan iki kardeş, yumurtaya ciddi alerjisi olan bir çocuk, toplumun geri kalanı için görünmez olan bir adam.";Movie;2018;6.6;"Hiromasa Yonebayashi";"Animasyon, Aile, Fantastik";...;2019-09-06;NULL;https://turflix.com/film/modest-heroes-ponoc-short-films-theatre-81143068;https://www.netflix.com/title/81143068;53
